ID	R_Sun	R_gc	V_HB	(m-M)V	V_t	M_Vt	[Fe/H	v_LSR	c	e   r	(tc) l	rho_0
NGC 6266	6.9	1.7	16.25	15.64	6.45	-9.19	-1.29	-60.5	1.70c	: 0.01	7.64	5.14
NGC 6273	8.6	1.6	16.5	15.95	6.77	-9.18	-1.68	145.6	1.53	0.27	8.51	4.01
NGC 6284	15.3	7.6	17.4	16.8	8.83	-7.97	-1.32	38.7	2.50c	0.03	7.2	4.42
NGC 6287	9.3	2.1	17.2	16.71	9.35	-7.36	-2.05	-277.1	1.6	0.13	7.94	3.81
NGC 6293	8.8	1.4	16.5	15.99	8.22	-7.77	-1.92	-135.5	2.50c	0.03	6.24	5.22
NGC 6304	6	2.2	16.25	15.54	8.22	-7.32	-0.59	-97.4	1.8	0.02	7.37	4.41
NGC 6316	11	3.2	17.5	16.78	8.43	-8.35	-0.55	81.8	1.55	0.04	7.72	4.21
NGC 6341	8.2	9.6	15.1	14.64	6.44	-8.2	-2.28	-101.7	1.81	0.1	7.84	4.29
NGC 6325	8	1.1	17.9	17.28	10.33	-6.95	-1.17	41.4	2.50c	0.12	5.75	5.48
NGC 6333	7.9	1.7	16.2	15.66	7.72	-7.94	-1.75	242	1.15	0.04	8.65	3.67
NGC 6342	8.6	1.7	16.8	16.1	9.66	-6.44	-0.65	128.9	2.50c	0.18	6.09	4.77
NGC 6356	15.2	7.6	17.5	16.77	8.25	-8.52	-0.5	40.2	1.54	0.03	8.33	3.76
NGC 6355	9.5	1.8	17.8	17.22	9.14	-8.08	-1.5	-166	2.50c		6.23	4.83
NGC 6352	5.7	3.3	15.13	14.44	7.96	-6.48	-0.7	-116.7	1.1	0.07	8.44	3.04
IC 1257	25	17.9	19.8	19.25	13.1	-6.15	-1.7	-124.6				
Terzan 2	8.7	0.9	20.3	19.56	14.29	-5.27	-0.4	118.7	2.50c		5.59	4.65
NGC 6366	3.6	5	15.65	14.97	9.2	-5.77	-0.82	-106.3	0.92	0.16	8.57	2.42
Terzan 4	9.1	1.3	22.65	22.09	16	-6.09	-1.6	-40.5				
HP 1	14.1	6.1	18.6	18.03	11.59	-6.44	-1.55	63.1	2.50c		5.39	3.62
NGC 6362	7.6	5.1	15.33	14.67	7.73	-6.94	-0.95	-15.1	1.1	0.07	9	2.26
Liller 1	9.6	1.8	25.23	24.4	16.77	-7.63	0.22	61	2.30c	:	6.96	5.53
NGC 6380	10.7	3.2	19.5	18.77	11.31	-7.46	-0.5	3.7	1.55c	:	8.39	3.7
Terzan 1	5.6	2.5	21.4	20.8	15.9	-4.9	-1.3	123.9	2.50c		4.96	4.28
Ton 2	8.1	1.4	19.1	18.38	12.24	-6.14	-0.5	-176.9	1.3		8.24	2.84
NGC 6388	10	3.2	16.85	16.14	6.72	-9.42	-0.6	86.7	1.7	0.01	7.74	5.34
NGC 6402	9.3	4.1	17.3	16.71	7.59	-9.12	-1.39	-49.7	1.6	0.11	9.12	3.28
NGC 6401	10.5	2.7	18	17.35	9.45	-7.9	-0.98	-53.2	1.69	0.15	7.99	3.8
NGC 6397	2.3	6	12.87	12.36	5.73	-6.63	-1.95	21.4	2.50c	0.07	4.9	5.68
Pal 6	5.9	2.2	19	18.36	11.55	-6.81	-1.09	193.7	1.1		8.35	3.42
NGC 6426	20.7	14.6	18.16	17.7	11.01	-6.69	-2.26	-144.5	1.7	0.15	8.27	2.35
Djorg 1	12	4.1	20.36	19.86	13.6	-6.26	-2	-353.2	1.5		8.02	2.76
Terzan 5	10.3	2.4	22.52	21.72	13.85	-7.87	0	-82.4	1.87		8.16	5.06
NGC 6440	8.4	1.3	18.7	17.95	9.2	-8.75	-0.34	-65.9	1.7	0.01	7.54	5.28
NGC 6441	11.7	3.9	17.51	16.79	7.15	-9.64	-0.53	24.4	1.85	0.02	7.77	5.25
Terzan 6	9.5	1.6	22.25	21.52	13.85	-7.67	-0.5	135.7	2.50c		6.71	5.41
NGC 6453	9.6	1.8	17.53	16.96	10.08	-6.88	-1.53	-74.9	2.50c	0.09	6.74	4.84
UKS 1	8.3	0.8	24.9	24.17	17.29	-6.88	-0.5		2.10c	:	7.31	4.31
NGC 6496	11.5	4.3	16.47	15.77	8.54	-7.23	-0.64	-107	0.7	0.16	9.09	1.96
Terzan 9	6.5	1.6	20.35	19.85	16	-3.85	-2	70	2.50c		4.96	4.59
Djorg 2	6.7	1.4	17.6	16.88	9.9	-6.98	-0.5		1.5		7.79	3.76
NGC 6517	10.8	4.3	19.1	18.51	10.23	-8.28	-1.37	-24.1	1.82	0.06	6.9	5.2
Terzan10	5.7	2.4	21.9	21.2	14.9	-6.31	-0.7					
NGC 6522	7.8	0.6	16.52	15.94	8.27	-7.67	-1.44	-11	2.50c	0.06	6.32	5.31
NGC 6535	6.8	3.9	15.75	15.22	10.47	-4.75	-1.8	-198	1.3	0.08	7.66	2.69
NGC 6528	7.9	0.6	16.95	16.16	9.6	-6.56	-0.04	216.3	2.29	0.11	6.79	4.86
NGC 6539	8.4	3.1	18.33	17.63	9.33	-8.3	-0.66	-29.9	1.6	0.08	8.6	3.62
NGC 6540	3.7	4.4	15.3	14.68	9.3	-5.38	-1.2	-6.9	2.50c		5.01	5.92
NGC 6544	2.7	5.3	15	14.43	7.77	-6.66	-1.56	-15.7	1.63c	: 0.22	5.09	5.73
NGC 6541	7	2.2	15.2	14.67	6.3	-8.37	-1.83	-152.7	2.00c	: 0.12	7.99	4.41
2MS-GC01	3.6	4.5	34.5	33.88			-1.2					
ESO-SC06	21.7	14.3	17.4	16.9			-2					
NGC 6553	6	2.2	16.6	15.83	8.06	-7.77	-0.21	4.8	1.17	0.17	8.31	3.82
2MS-GC02	4	4.1	30.9	30.25								
NGC 6558	7.4	1	16.3	15.72	9.26	-6.46	-1.44	-187.6	2.50c		5.61	5.11
IC 1276	5.4	3.7	17.7	17.01	10.34	-6.67	-0.73	171.5	1.29		8.53	2.72
