Time    Ener
21699   3.62
21734   5.06
21775   2.76
21787   4.75
21850   4.98
21903   4.49
21913   2.80
21932   5.22
21976   3.61
22001   4.04
22026   4.45
22076   3.12
22145   3.88
22243   2.68
22258   2.65
22299   5.48
22334   3.04
22343   2.98
22371   4.63
22431   3.92
22456   4.97
22566   3.84
22607   3.60
22635   2.92
22751   3.21
22805   1.93
22814   3.76
22833   4.63
22861   3.54
22874   4.11
22912   2.94
22959   6.05
22987   4.73
23003   3.74
23028   4.45
23040   1.80
23053   4.00
23075   3.13
23113   3.22
23116   1.75
23122   3.40
23229   5.07
23348   4.72
23436   4.44
23439   3.91
23458   3.27
23468   4.47
23521   3.71
23587   5.97
23628   4.21
23653   5.29
23675   3.57
23684   4.87
23713   3.83
23757   5.47
23763   6.59
23785   3.20
23907   4.19
23920   3.24
23923   3.90
23932   3.77
23954   3.83
23970   3.54
23986   6.11
24005   5.42
24014   4.57
24027   4.40
24033   1.93
24042   2.87
24061   4.00
24080   3.29
24099   4.20
24111   2.51
24124   5.69
24206   5.63
24221   5.87
24250   6.70
24256   4.65
24284   4.37
24344   2.55
24366   3.15
24454   3.21
24473   4.11
24507   2.47
24523   6.76
24532   1.23
24545   5.19
24564   3.32
24589   3.84
24598   4.04
24636   2.09
24677   2.44
24824   5.13
24828   6.14
24865   4.80
24872   4.30
24881   2.54
25126   3.04
25167   2.09
25170   3.88
25201   4.67
25214   4.49
25230   3.76
25239   3.08
25264   3.94
25267   1.16
25280   2.92
25296   2.94
25393   3.61
25431   1.74
25459   6.29
25490   2.73
25497   3.13
25519   3.16
25556   2.42
25588   2.46
25635   6.57
25638   2.90
25644   5.35
25644   3.83
25669   2.57
25679   3.75
25695   3.46
25795   4.13
25804   7.12
25811   3.76
25864   2.02
25867   1.86
25874   5.22
25961   6.22
26021   5.76
26043   3.96
26056   2.42
26059   4.31
26106   1.28
26115   4.54
26122   4.56
26141   3.59
26323   5.72
26354   2.21
26411   4.82
26436   2.52
26458   4.32
26634   4.38
26728   2.72
26759   3.16
26838   1.75
26838   2.59
26841   3.48
26844   5.22
26879   2.79
26891   6.45
26951   3.74
26973   5.07
26985   2.92
27011   5.09
27014   3.73
